Query: BILIRUBIN IN PLASMA,,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,34
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,35
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,36
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,37
1995-0,Calcium.ionized [Moles/volume] in Serum or Plasma,Calcium.ionized,Ser/Plas,SCnc,38
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,Ser/Plas,MCnc,39
30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,C reactive protein,Ser/Plas,MCnc,40
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,41
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,42
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Aspartate aminotransferase,Ser/Plas,CCnc,43
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,44
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,45
882-1,ABO & Rh group [Type] in Blood,ABO+Rh group,Bld,Type,46
31100-1,Hematocrit [Volume Fraction] of Blood by Impedance,Hematocrit,Bld,VFr,47
6011-1,Protein C cofactor [Units/volume] in Platelet poor plasma,Protein C cofactor,PPP,ACnc,48
4674-8,Deprecated Protein C inhibitor [Mass/volume] in Platelet poor plasma by Immunologic method,Protein C inhibitor.activated,Plas,-,49
55461-8,Deprecated Protein C in Platelet poor plasma,Protein C,PPP,-,50
55460-0,Deprecated Protein C Ag in Platelet poor plasma,Protein C Ag,PPP,-,51
6006-1,Protein C [Units/volume] in Platelet poor plasma by Chromogenic method,Protein C,PPP,ACnc,52
6007-9,Protein C [Units/volume] in Platelet poor plasma by Coagulation assay,Protein C,PPP,ACnc,53
4672-2,Protein C Ag [Mass/volume] in Platelet poor plasma,Protein C Ag,PPP,MCnc,54
27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method,Protein C actual/Normal,PPP,RelCCnc,55
27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay,Protein C actual/Normal,PPP,RelTime,56
52766-3,aPTT in Platelet poor plasma by Coagulation assay -- after addition of protein C activator + Factor V depleted plasma/aPTT,Coagulation surface induced^after addition of protein C activator+Factor V depleted plasma/Coagulation surface induced,PPP,TRto,57
48596-1,Activated protein C resistance panel - Platelet poor plasma,Activated protein C resistance panel,PPP,-,58
6009-5,Protein C Ag [Units/volume] in Platelet poor plasma by Immunoassay,Protein C Ag,PPP,ACnc,59
48591-2,Activated protein C resistance [Interpretation] in Platelet poor plasma,Activated protein C resistance,PPP,Imp,60
51419-0,Sodium [Moles/volume] corrected for glucose in Serum or Plasma,Sodium^^corrected for glucose,Ser/Plas,SCnc,61
95102-0,Glucose post fasting and meal stimulation panel - Serum or Plasma,Glucose post fasting and meal stimulation panel,Ser/Plas,-,62
97533-4,Somatotropin post glucose stimulation panel - Serum or Plasma,Somatotropin post glucose stimulation panel,Ser/Plas,-,63
-128686,Glucose [Mass/volume] in Serum or Plasma --baseline,Glucose^baseline,Ser/Plas,MCnc,64
14768-6,Glucose [Moles/volume] in Serum or Plasma --baseline,Glucose^baseline,Ser/Plas,SCnc,65
12639-1,Glucose [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,Glucose^15M post XXX challenge,Ser/Plas,MCnc,66
40155-4,Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge,Glucose^15M post XXX challenge,Ser/Plas,SCnc,67
53481-8,Glucose [Moles/volume] in Serum or Plasma --15 minutes pre dose betaxolol,Glucose^15M pre dose betaxolol,Ser/Plas,SCnc,68
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,69
26464-8,Leukocytes [#/volume] in Blood,Leukocytes,Bld,NCnc,70
1994-3,Calcium.ionized [Moles/volume] in Blood,Calcium.ionized,Bld,SCnc,71
10331-7,Rh [Type] in Blood,Rh,Bld,Type,72
14578-9,ABO group [Type] in Blood from Blood product unit,ABO group,Bld^BPU,Type,73
883-9,ABO group [Type] in Blood,ABO group,Bld,Type,74
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,75
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,76
26478-8,Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,Bld,NFr,77
26484-6,Monocytes [#/volume] in Blood,Monocytes,Bld,NCnc,78
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,79
2069-3,Chloride [Moles/volume] in Blood,Chloride,Bld,SCnc,80
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,81
6010-3,Protein C inhibitor [Mass/volume] in Platelet poor plasma by Immunoassay,Protein C inhibitor,PPP,MCnc,82
44433-1,Other Antibiotic [Mass/volume] in Serum or Plasma --peak,Antibiotic XXX^peak,Ser/Plas,MCnc,83
44434-9,Other Antibiotic [Mass/volume] in Serum or Plasma --trough,Antibiotic XXX^trough,Ser/Plas,MCnc,84
53868-6,Glucose tetrasaccharide/Creatinine [Molar ratio] in Urine,Glucose tetrasaccharide/Creatinine,Urine,SRto,85
40858-3,Glucose [Mass/volume] in Capillary blood --baseline,Glucose^baseline,BldC,MCnc,86
58583-6,Corticotropin [Mass/volume] in Plasma --30 minutes post dose glucose,Corticotropin^30M post dose glucose,Plas,MCnc,87
58584-4,Corticotropin [Moles/volume] in Plasma --30 minutes post dose glucose,Corticotropin^30M post dose glucose,Plas,SCnc,88
47654-9,Insulin [Units/volume] in Serum or Plasma --10 minutes post dose glucose,Insulin^10M post dose glucose,Ser/Plas,ACnc,89
48116-8,Insulin [Units/volume] in Serum or Plasma --10 minutes pre dose glucose,Insulin^10M pre dose glucose,Ser/Plas,ACnc,90
934-0,Blood product unit ID [#],Blood product unit ID,Dose,Num,91
20565-8,"Carbon dioxide, total [Moles/volume] in Blood",Carbon dioxide,Bld,SCnc,92
1959-6,Bicarbonate [Moles/volume] in Blood,Bicarbonate,Bld,SCnc,93
8310-5,Body temperature,Body temperature,^Patient,Temp,94
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,95
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,96
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,97
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,98
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,99
26474-7,Lymphocytes [#/volume] in Blood,Lymphocytes,Bld,NCnc,100
933-2,Blood product type,Blood product type,^BPU,Type,101
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,102
925-8,Blood product disposition [Type],Blood product disposition,^BPU,Type,103
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,104
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,105
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,106
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,107
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,108
730-2,Leukocytes other/100 leukocytes in Blood by Manual count,Leukocytes other/100 leukocytes,Bld,NFr,109
40543-1,Leukocytes other/100 leukocytes in Bronchial specimen by Manual count,Leukocytes other/100 leukocytes,Bronchial,NFr,110
714-6,Eosinophils/100 leukocytes in Blood by Manual count,Eosinophils/100 leukocytes,Bld,NFr,111
14709-0,Eosinophils/100 leukocytes in Bronchial specimen by Manual count,Eosinophils/100 leukocytes,Bronchial,NFr,112
2858998,Eosinophils/100 leukocytes in Nose by Manual count,Eosinophils/100 leukocytes,Nose,NFr,113
707-0,Basophils/100 leukocytes in Blood by Manual count,Basophils/100 leukocytes,Bld,NFr,114
14625-8,Basophils/100 leukocytes in Bronchial specimen by Manual count,Basophils/100 leukocytes,Bronchial,NFr,115
21094-8,Basophils/100 leukocytes in Sputum by Manual count,Basophils/100 leukocytes,Sputum,NFr,116
62245-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood from Fetus by Automated count,Erythrocytes.nucleated/100 leukocytes,Bld^Fetus,Ratio,117
62440-3,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid by Automated count,Erythrocytes.nucleated/100 leukocytes,Body fld,Ratio,118
41282-5,Nucleated erythrocytes/100 leukocytes [Ratio] in Body fluid by Manual count,Erythrocytes.nucleated/100 leukocytes,Body fld,Ratio,119
12229-1,Macrophages/100 leukocytes in Cerebral spinal fluid by Manual count,Macrophages/100 leukocytes,CSF,NFr,120
51621-1,Macrophages/100 leukocytes in Dialysis fluid by Manual count,Macrophages/100 leukocytes,Dial fld,NFr,121
40524-1,Macrophages/100 leukocytes in Pericardial fluid by Manual count,Macrophages/100 leukocytes,Pericard fld,NFr,122
40517-5,Macrophages/100 leukocytes in Peritoneal fluid by Manual count,Macrophages/100 leukocytes,Periton fld,NFr,123
71470-9,ESRD antibiotic panel,Antibiotic panel,Medication,-,124
71471-7,Antibiotic administered Medication,Antibiotic administered,Medication,Type,125
100049-6,Eravacycline [Susceptibility],Eravacycline,Isolate,Susc,126
100052-0,Flomoxef [Susceptibility],Flomoxef,Isolate,Susc,127
100053-8,Fluoroquinolone [Susceptibility],Fluoroquinolone,Isolate,Susc,128
93850-6,Pretomanid [Susceptibility],Pretomanid,Isolate,Susc,129
100044-7,Cefcapene [Susceptibility],Cefcapene,Isolate,Susc,130
100045-4,Cefozopran [Susceptibility],Cefozopran,Isolate,Susc,131
100046-2,Cefquinome [Susceptibility],Cefquinome,Isolate,Susc,132
99281-8,Lefamulin [Susceptibility],Lefamulin,Isolate,Susc,133
100055-3,Optochin [Susceptibility],Optochin,Isolate,Susc,134
100056-1,Panipenem [Susceptibility],Panipenem,Isolate,Susc,135
100058-7,Prulifloxacin [Susceptibility],Prulifloxacin,Isolate,Susc,136
43428-2,Bilirubin.microscopic observation [Identifier] in Tissue by Hall's stain,Bilirubin.microscopic observation,Tiss,Prid,137
97062-4,History of High blood glucose,High blood glucose,^Patient,Hx,138
