Query: GLUCOSE IN BLOOD,,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
29265-6,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Calcium^^corrected for albumin,Ser/Plas,SCnc,47
1250-0,Major crossmatch [interpretation],Major crossmatch,Ser/Plas,Imp,48
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,49
3082-5,Tyrosine aminotransferase [Mass/volume] in Plasma,Tyrosine aminotransferase,Plas,MCnc,50
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,51
20442-0,Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification,Hepatitis B virus DNA,Ser,NCnc,52
8310-5,Body temperature,Body temperature,^Patient,Temp,53
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,54
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,55
54439-5,Calcium bilirubinate/Total in Stone,Calcium bilirubinate/Total,Calculus,MFr,56
13317-3,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,Staphylococcus aureus.methicillin resistant isolate,XXX,ACnc,57
18998-5,Trimethoprim+Sulfamethoxazole [Susceptibility],Trimethoprim+Sulfamethoxazole,Isolate,Susc,58
18906-8,Ciprofloxacin [Susceptibility],Ciprofloxacin,Isolate,Susc,59
18864-9,Ampicillin [Susceptibility],Ampicillin,Isolate,Susc,60
18865-6,Ampicillin+Sulbactam [Susceptibility],Ampicillin+Sulbactam,Isolate,Susc,61
18955-5,Nitrofurantoin [Susceptibility],Nitrofurantoin,Isolate,Susc,62
19000-9,Vancomycin [Susceptibility],Vancomycin,Isolate,Susc,63
20629-2,Levofloxacin [Susceptibility],Levofloxacin,Isolate,Susc,64
18878-9,Cefazolin [Susceptibility],Cefazolin,Isolate,Susc,65
18928-2,Gentamicin [Susceptibility],Gentamicin,Isolate,Susc,66
23658-8,Other Antibiotic [Susceptibility],Antibiotic XXX,Isolate,Susc,67
