Query: WHITE BLOOD CELLS COUNT,,,,,
,,,,,
loinc_num,long_common_name,component,system,property,rank
53481-8,Glucose [Moles/volume] in Serum or Plasma --15 minutes pre dose betaxolol,Glucose^15M pre dose betaxolol,Ser/Plas,SCnc,100
95102-0,Glucose post fasting and meal stimulation panel - Serum or Plasma,Glucose post fasting and meal stimulation panel,Ser/Plas,-,101
35184-1,Fasting glucose [Mass or Moles/volume] in Serum or Plasma,Glucose^post CFst,Ser/Plas,MSCnc,102
74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,103
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,104
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,105
1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,Amylase,Ser/Plas,CCnc,106
2111-3,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,Ser/Plas,SCnc,107
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,108
2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Carbon dioxide,Ser/Plas,SCnc,109
14764-5,Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,Ser/Plas,SCnc,110
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,111
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,Ser/Plas,MCnc,112
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,113
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Alkaline phosphatase,Ser/Plas,CCnc,114
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.complement specific reagent,Ser/Plas,ACnc,115
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Alanine aminotransferase,Ser/Plas,CCnc,116
47654-9,Insulin [Units/volume] in Serum or Plasma --10 minutes post dose glucose,Insulin^10M post dose glucose,Ser/Plas,ACnc,117
48116-8,Insulin [Units/volume] in Serum or Plasma --10 minutes pre dose glucose,Insulin^10M pre dose glucose,Ser/Plas,ACnc,118
51419-0,Sodium [Moles/volume] corrected for glucose in Serum or Plasma,Sodium^^corrected for glucose,Ser/Plas,SCnc,119
97533-4,Somatotropin post glucose stimulation panel - Serum or Plasma,Somatotropin post glucose stimulation panel,Ser/Plas,-,120
58583-6,Corticotropin [Mass/volume] in Plasma --30 minutes post dose glucose,Corticotropin^30M post dose glucose,Plas,MCnc,121
58584-4,Corticotropin [Moles/volume] in Plasma --30 minutes post dose glucose,Corticotropin^30M post dose glucose,Plas,SCnc,122
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum,Cobalamins,Ser,MCnc,123
14747-0,Glucose [Moles/volume] in Pleural fluid,Glucose,Plr fld,SCnc,124
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,125
15076-3,Glucose [Moles/volume] in Urine,Glucose,Urine,SCnc,126
53868-6,Glucose tetrasaccharide/Creatinine [Molar ratio] in Urine,Glucose tetrasaccharide/Creatinine,Urine,SRto,127
40858-3,Glucose [Mass/volume] in Capillary blood --baseline,Glucose^baseline,BldC,MCnc,128
43428-2,Bilirubin.microscopic observation [Identifier] in Tissue by Hall's stain,Bilirubin.microscopic observation,Tiss,Prid,129
27198-1,Bilirubin.total [Units/volume] in Amniotic fluid by Spectrophotometry direct,Bilirubin,Amnio fld,ACnc,130
43887-9,Bilirubin.total [Presence] in Amniotic fluid by Spectrophotometry direct,Bilirubin,Amnio fld,PrThr,131
12476-8,Bilirubin.total [Mass/volume] in Amniotic fluid by Spectrophotometry direct,Bilirubin,Amnio fld,MCnc,132
1969-5,Bilirubin.total renal clearance in 24 hour Urine and Serum or Plasma,Bilirubin renal clearance,Urine+Ser/Plas,VRat,133
50041-3,Bilirubin+Urobilinogen [Presence] in Urine,Bilirubin+Urobilinogen,Urine,PrThr,134
74434-2,Bilirubin.total/Total in Stone by Infrared spectroscopy,Bilirubin/Total,Calculus,MFr,135
72264-5,Bilirubin excess and oxyhemoglobin and methemoglobin and xanthochromia and albumin quotient panel - Serum and CSF,Bilirubin excess & oxyhemoglobin & methemoglobin & xanthochromia & albumin quotient panel,Ser+CSF,-,136
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,137
97062-4,History of High blood glucose,High blood glucose,^Patient,Hx,138
